Company,Geography, Excel ID 
"Sunward Intelligent Equipment Co., Ltd.",APAC,IQ30445425
"Shanghai Electric Wind Power Group Co., Ltd.",APAC,IQ601855622
"Wuxi urban construction Development Group Co., Ltd",APAC,IQ310933908
"Powerchina Roadbridge Group Co.,Ltd",APAC,IQ83283973
"Zhuzhou Geckor Group Co.,Ltd",APAC,IQ216853463
"Relo Group, Inc.",APAC,IQ5632831
China Resources Building Materials Technology Holdings Limited,APAC,IQ9535632
"Hebei Tourism Investment Group Co., Ltd.",APAC,IQ325747160
Yingtan State-owned Holding Group Company Limited,APAC,IQ225929562
Capital Environment Holdings Limited,APAC,IQ21927760
"Shanghai Jiao Yun Group Co., Ltd.",APAC,IQ11478458
"Shaanxi Heimao Coking Co., Ltd.",APAC,IQ54085045
Sinyi Realty Inc.,APAC,IQ9829320
Shanghai Industrial Holdings Limited,APAC,IQ881928
"Yulon Nissan Motor Co., Ltd",APAC,IQ13008366
Shanxi Lu'an Mining Industry Group Company Limited,APAC,IQ26443334
"TUS Environmental Science and Technology Development Co., Ltd.",APAC,IQ12725324
"Ganzhou Development Investment Holding Group Co., Ltd.",APAC,IQ216085411
"Marcus & Millichap, Inc.",N. America,IQ4249042
"Shandong Energy Group Construction Group Co., Ltd.",APAC,IQ567032277
"Shanxi Coal International Energy Group Co.,Ltd",APAC,IQ20334553
Green Economy Development Limited,APAC,IQ145378729
Wan Hai Lines Ltd.,APAC,IQ9682799
"Anhui Fuhuang Steel Structure Co., Ltd.",APAC,IQ113640192
Metinvest B.V.,EMEA,IQ23999732
Gemdale Properties and Investment Corporation Limited,APAC,IQ876808
Opendoor Technologies Inc.,N. America,IQ273515631
"China Urban-Rural Holding Group Co., Ltd.",APAC,IQ280787330
China Shuifa Singyes Energy Holdings Limited,APAC,IQ45337760
"Minmetals 23rd Metallurgical Construction Group Co., Ltd.",APAC,IQ411056976
"Taizhou Traffic Industry Group Co.,Ltd",APAC,IQ209788054
"Minmetals Development Co., Ltd.",APAC,IQ5467888
"Anyang Iron and Steel Co.,Ltd.",APAC,IQ5497439
"Beijing Tianheng Development Group CO., LTD.",APAC,IQ275361440
"LT SAMBO Co.,Ltd.",APAC,IQ97957116
"Zhuhai Port Holding Group Co,Ltd",APAC,IQ112998739
